handle,rating,maxRating,regTime,schedules,two pointers,constructive algorithms,geometry,matrices,sortings,math,ternary search,graph matchings,data structures,trees,strings,bitmasks,graphs,greedy,hashing,meet-in-the-middle,implementation,binary search,chinese remainder theorem,divide and conquer,flows,probabilities,dp,2-sat,expression parsing,string suffix structures,dsu,fft,dfs and similar,brute force,games,interactive,combinatorics,number theory,shortest paths,all,pupil,spe,exp,cm,m,im,gm,igm
ssr3fn,2178,2178,1648450430,0,4,9,0,0,5,18,0,0,6,1,1,5,4,15,0,0,6,7,1,1,0,2,10,0,0,0,1,0,4,13,8,4,8,5,2,346.0,56.32025462962963,67.32025462962963,82.32025462962963,310.32025462962963,781.3202546296296,,,
sunyuheng365,2178,2288,1638460848,0,18,52,2,5,18,62,2,4,75,51,17,31,34,57,14,1,37,45,2,27,2,12,65,1,0,7,24,1,47,54,4,12,21,18,9,1073.0,65.94041666666666,79.94041666666666,91.98208333333334,182.94041666666666,240.91958333333332,,,
woshi1uo,2178,2227,1700979134,0,1,3,0,1,1,7,0,0,5,3,0,4,3,3,0,0,5,0,0,1,1,0,8,0,0,0,2,0,3,5,0,0,3,3,0,49.0,20.349143518518517,20.349143518518517,20.349143518518517,27.349143518518517,100.34914351851852,,,
yangjz,2178,2243,1596096710,0,5,14,3,4,11,32,1,0,38,18,8,9,12,23,3,1,9,15,1,10,1,4,45,1,0,2,7,2,18,8,3,0,16,10,2,270.0,13.266087962962963,59.99525462962963,87.12025462962963,427.0855324074074,444.12025462962964,,,
Bruteforceman,2177,2433,1462425391,0,31,128,26,7,63,120,9,11,152,102,32,56,125,138,22,1,67,85,1,30,15,17,190,3,0,7,29,9,111,72,7,19,47,48,35,1460.0,0.45033564814814814,0.45033564814814814,40.47116898148148,165.38783564814815,328.45033564814815,1025.4295023148147,1116.4295023148147,
EnDeRBeaT,2177,2177,1624378390,0,45,121,7,6,57,159,6,6,150,75,33,48,83,171,22,0,104,69,4,27,6,14,156,4,0,3,39,6,79,108,17,26,64,59,25,1378.0,39.9318287037037,30.931828703703705,201.9318287037037,675.9318287037037,1221.9318287037038,,,
FalseMirror,2177,2213,1442661563,0,7,18,4,1,10,25,1,0,41,11,12,11,20,22,4,2,10,22,1,3,3,6,38,1,0,3,8,5,18,19,6,5,6,12,4,835.0,95.21917824074075,99.00042824074075,193.1983449074074,502.09417824074075,756.8650115740741,,,
HXLLL,2177,2279,1445066523,0,0,6,1,1,5,7,1,0,9,6,2,1,3,4,0,0,3,4,0,2,0,1,10,0,0,0,1,0,6,3,3,3,3,5,0,167.0,8.068020833333334,8.068020833333334,523.3214930555556,523.3214930555556,913.2798263888889,,,
H_W_Y,2177,2177,1642847120,0,10,23,2,10,13,63,0,7,71,27,12,18,33,51,8,1,24,28,0,21,12,13,56,3,0,6,14,8,18,24,5,3,33,17,7,423.0,754.1733796296296,769.1733796296296,769.1733796296296,784.1733796296296,966.1733796296296,,,
JohnVictor,2177,2238,1572705926,0,0,9,2,0,4,13,2,0,2,4,1,2,5,7,2,0,2,4,0,4,1,1,7,0,0,0,2,2,4,2,1,4,5,4,0,61.0,161.9719212962963,161.9719212962963,191.9094212962963,608.9302546296296,769.8052546296296,,,
MoFalkmusic,2177,2177,1679140740,0,1,0,0,0,2,8,1,0,3,1,0,1,0,2,0,0,1,4,0,1,0,0,3,0,0,0,0,0,1,3,0,0,3,2,0,25.0,17.108333333333334,17.108333333333334,91.8375,91.8375,120.10833333333333,,,
NToneE,2177,2177,1557151746,0,0,4,0,0,0,3,0,0,2,3,0,3,1,2,0,0,1,2,0,2,0,0,1,0,0,0,1,0,3,4,0,2,0,1,2,250.0,9.017986111111112,9.017986111111112,407.0179861111111,1169.0179861111112,1596.0179861111112,,,
Phoom,2177,2230,1367602790,0,1,3,3,1,4,8,0,1,13,3,1,0,6,8,1,0,7,5,0,2,2,1,21,0,0,0,2,0,4,2,1,0,8,2,4,145.0,8.805671296296296,8.805671296296296,26.909837962962964,763.8056712962963,847.9515046296297,,,
RigBuhBuh,2177,2239,1665459480,0,4,6,0,1,1,19,1,0,18,8,3,8,7,18,6,2,8,11,2,7,0,5,18,1,0,0,2,1,9,20,1,4,4,7,1,156.0,459.45625,459.45625,564.45625,567.45625,593.45625,,,
StarInShadow,2177,2177,1493613412,0,7,29,8,3,14,25,1,1,21,3,8,10,17,30,2,0,21,18,0,6,2,2,34,0,1,0,5,1,12,15,2,5,10,10,5,238.0,1112.1966203703703,1123.4153703703703,1123.4153703703703,1123.4153703703703,1149.394537037037,,,
WaterSL,2177,2177,1612150711,0,16,21,5,4,19,69,0,2,131,43,16,28,32,39,13,3,23,29,1,38,13,16,87,0,0,8,22,11,26,41,4,8,27,24,10,354.0,725.4558912037037,999.4558912037037,1026.4558912037037,1139.4558912037037,1184.4558912037037,,,
WonderfulWhale,2177,2188,1602332811,0,6,20,2,2,12,37,0,1,31,24,4,10,22,29,5,1,18,21,1,4,2,2,34,0,0,1,8,3,26,21,2,5,20,11,10,342.0,55.026493055555555,55.026493055555555,81.08899305555556,677.0473263888889,987.0681597222223,,,
_Magallan,2177,2177,1682611940,0,2,1,0,0,5,1,0,0,5,2,1,1,3,5,0,0,3,1,0,0,0,0,4,0,0,0,0,0,2,4,0,1,0,1,0,69.0,10.82824074074074,10.82824074074074,30.932407407407407,36.93240740740741,210.9324074074074,,,
abcpony,2177,2177,1638617066,0,11,20,1,3,16,22,2,3,50,19,5,15,22,30,1,0,17,16,2,7,7,3,35,2,0,1,11,0,17,19,3,5,7,6,6,554.0,239.11150462962962,252.13233796296296,356.1740046296296,395.13233796296294,674.132337962963,,,
fnjke,2177,2177,1674310194,0,3,4,0,0,2,13,0,0,11,6,2,7,4,5,1,0,4,5,0,2,0,2,14,1,0,0,4,0,8,6,1,1,5,2,2,132.0,11.017430555555556,14.913263888888888,19.017430555555556,196.01743055555556,231.99659722222222,,,
gxy001,2177,2298,1575868809,0,16,67,16,17,34,164,2,6,140,68,15,41,78,81,8,7,39,50,2,33,20,24,154,1,2,8,29,19,57,46,16,27,69,52,15,792.0,12.239479166666667,12.239479166666667,181.3853125,407.3853125,572.3228125,,,
hqmm,2177,2177,1660962167,0,40,36,18,8,51,87,5,4,184,91,21,57,65,130,17,6,53,81,0,39,5,6,220,2,0,4,36,2,87,73,7,4,43,19,21,783.0,218.5084837962963,227.5084837962963,247.5084837962963,387.5084837962963,618.5084837962963,,,
manizare,2177,2297,1567190274,1,23,60,8,14,43,98,1,4,181,117,27,56,117,91,16,2,38,62,1,46,5,27,211,8,0,7,47,6,109,65,7,12,75,35,29,1676.0,54.852152777777775,785.6438194444445,1081.8313194444445,1214.8313194444445,1373.8382638888888,,,
molney,2177,2250,1621608837,0,7,11,6,1,13,24,2,1,31,11,7,7,10,25,6,1,14,16,0,5,1,2,19,0,0,1,7,0,14,12,2,4,6,5,3,812.0,193.9868402777778,293.9868402777778,332.9868402777778,425.9868402777778,644.9764236111112,,,
princeee,2177,2177,1632815278,0,0,2,1,0,1,3,0,0,2,1,0,3,2,3,1,0,3,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,92.0,125.28266203703704,164.28266203703703,854.2826620370371,906.2826620370371,928.2826620370371,,,
reiofa,2177,2178,1627029641,0,2,3,0,0,2,7,0,0,3,4,0,2,0,3,0,0,7,5,0,0,0,0,7,0,0,0,0,0,4,6,1,1,3,3,0,58.0,67.24605324074074,72.24605324074074,77.26688657407408,79.01688657407408,112.24605324074074,,,
runzelai,2177,2177,1644652996,0,9,17,5,4,9,50,0,2,59,37,7,14,26,39,8,1,17,26,2,16,3,17,72,1,0,6,9,3,30,19,4,6,21,12,7,379.0,686.2824537037037,693.2720370370371,777.2720370370371,925.2720370370371,981.0428703703703,,,
secretman1312,2177,2223,1659266221,0,18,21,5,1,25,69,1,1,55,28,8,19,27,47,4,2,27,32,1,14,1,7,64,1,0,2,15,6,32,46,5,9,31,16,5,551.0,341.13748842592594,341.13748842592594,341.13748842592594,350.13748842592594,361.13748842592594,,,
serialcomder,2177,2177,1654010721,0,47,93,17,9,62,154,5,4,162,85,20,53,91,126,19,0,86,79,3,34,9,14,124,4,0,5,45,6,103,93,14,24,37,59,17,1572.0,73.96503472222223,218.9650347222222,382.69420138888887,516.9650347222222,816.9650347222222,,,
walk_alone,2177,2198,1531118949,0,50,142,21,16,71,215,5,13,187,93,49,67,94,191,28,7,101,88,5,31,11,31,226,4,0,22,44,13,109,136,12,32,99,70,32,2341.0,76.26100694444445,76.26100694444445,935.3235069444445,1094.3235069444445,1187.3443402777777,,,
1L1YA,2176,2176,1656926775,0,25,57,15,10,40,92,4,4,158,121,30,40,118,88,22,1,45,50,0,42,0,25,170,2,0,13,50,3,108,59,5,14,62,38,33,1061.0,111.02690972222223,168.21440972222223,239.21440972222223,453.21440972222223,514.2977430555555,,,
21cs01033,2176,2184,1644473452,0,10,28,4,0,17,36,0,2,29,16,12,18,19,44,6,1,26,10,1,10,3,7,40,0,0,2,8,2,19,34,8,10,12,9,4,1133.0,242.3500925925926,242.3500925925926,422.32925925925923,528.3500925925925,771.3500925925925,,,
DarknessCatcher,2176,2288,1603777170,1,7,16,0,0,6,26,1,0,26,13,2,11,8,23,0,1,12,13,2,6,1,5,29,1,0,0,7,1,17,20,0,0,14,8,1,643.0,234.371875,256.371875,397.371875,760.3510416666667,1357.371875,,,
Ivan_Kolosov,2176,2176,1663509709,0,2,7,1,1,5,20,0,1,15,2,4,3,6,17,4,0,14,10,2,7,0,2,14,0,0,0,3,1,4,12,1,2,7,5,3,199.0,499.02304398148146,499.02304398148146,523.0230439814815,589.0230439814815,771.0230439814815,,,
KarL05,2176,2176,1587603345,0,2,11,1,0,8,21,1,2,20,12,2,6,9,19,2,0,13,7,0,5,0,1,12,1,0,0,3,1,12,14,1,3,7,6,2,278.0,171.33975694444445,184.5480902777778,184.5480902777778,465.56892361111113,542.4230902777778,,,
NoneBound,2176,2176,1624429604,1,19,41,4,4,27,69,6,5,95,61,15,24,45,67,15,5,45,36,3,18,3,10,98,1,0,5,24,1,67,52,5,12,22,25,10,1719.0,143.9849074074074,153.33907407407406,155.33907407407406,244.33907407407406,300.33907407407406,,,
Ricky2021,2176,2317,1639880814,0,13,19,5,2,21,54,0,3,63,24,9,23,33,45,8,0,26,19,1,12,8,13,71,2,2,3,13,1,28,37,9,6,28,14,6,445.0,257.505625,278.4014583333333,471.505625,672.193125,845.505625,903.505625,,
Robsob,2176,2176,1514037458,0,0,5,1,0,0,5,1,0,2,0,1,0,1,4,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,346.0,0.005115740740740741,0.005115740740740741,550.0259490740741,913.0051157407407,2505.025949074074,,,
TooTrashyToCompete,2176,2210,1519555450,1,17,26,5,2,18,43,2,0,57,29,4,14,21,49,6,1,25,23,1,14,1,4,51,2,0,1,12,2,25,29,2,7,15,8,5,749.0,7.201967592592593,0.22280092592592593,423.1603009259259,707.1394675925926,981.160300925926,,,
Yajuu_Senpai,2176,2176,1630893812,0,2,4,3,1,3,12,0,1,20,3,2,5,7,11,1,1,7,2,0,3,2,1,11,0,0,0,2,0,3,4,1,1,5,1,6,67.0,114.56351851851852,114.56351851851852,114.56351851851852,114.56351851851852,128.41768518518518,,,
bbts,2176,2176,1677751214,0,1,5,0,0,1,5,0,0,4,2,1,5,2,6,0,0,2,1,0,1,0,1,0,0,0,0,1,0,3,4,1,1,2,2,0,74.0,234.04497685185186,292.19081018518517,348.19081018518517,365.19081018518517,379.19081018518517,,,
burakov28,2176,2176,1374324181,0,4,8,0,1,6,14,0,0,16,11,4,4,16,10,1,0,11,7,0,1,0,2,20,1,0,2,5,2,11,11,0,2,5,4,4,274.0,0.03262731481481482,0.03262731481481482,194.11596064814816,770.1576273148148,1366.1194328703705,,,
hipo,2176,2176,1499810942,0,1,14,3,0,3,9,0,2,19,10,3,6,12,18,2,0,11,5,1,3,3,4,34,1,0,1,2,1,12,9,0,2,3,4,4,463.0,1.7055324074074074,1.7055324074074074,501.7680324074074,709.7888657407408,1306.6846990740742,,,
luckyzfy,2176,2176,1622364802,0,8,20,4,6,8,43,0,0,34,22,11,21,36,37,9,2,18,21,1,15,3,9,95,2,2,2,8,0,35,36,2,1,27,16,12,252.0,1103.2372453703704,1103.2372453703704,1103.2372453703704,1162.2372453703704,1168.2372453703704,,,
russian_proger,2176,2177,1598176261,0,8,20,3,1,8,25,2,0,25,17,6,8,17,33,4,0,21,17,1,3,0,4,25,1,0,1,5,0,23,34,1,7,8,8,3,726.0,90.19721064814814,231.19721064814814,401.19721064814814,602.1972106481481,1402.1972106481483,,,
ryz,2176,2176,1333083351,0,2,2,1,0,2,6,0,0,2,1,2,4,2,5,1,0,6,4,0,0,1,0,10,0,0,0,0,0,2,4,3,0,1,1,0,72.0,15.127881944444445,15.127881944444445,41.44038194444445,240.44038194444445,289.4403819444444,,,
tobias.glimmerfors,2176,2375,1568121623,0,15,51,7,1,27,40,2,3,39,16,4,11,22,65,1,0,34,37,0,7,4,5,45,0,0,0,14,0,20,25,6,10,14,4,8,941.0,37.01015046296296,37.01015046296296,37.01015046296296,218.05181712962963,282.0587615740741,447.0518171296296,,
zjsdut,2176,2176,1404107485,0,10,34,5,3,18,40,3,2,37,17,13,13,24,35,2,0,19,29,0,5,3,10,53,0,0,3,7,3,20,21,1,10,18,12,4,405.0,1594.363599537037,1594.363599537037,1630.363599537037,1649.3705439814814,2173.363599537037,,,
Guess.Who,2175,2175,1589241215,0,9,3,0,1,9,28,0,0,37,14,3,6,14,28,2,0,12,12,0,7,0,1,28,0,0,0,8,0,16,24,0,1,9,22,1,613.0,141.6120949074074,732.4037615740741,752.6120949074074,1111.6120949074075,1382.6120949074075,,,
HelloImTuan,2175,2217,1562426201,0,4,10,1,0,6,8,1,0,12,7,2,2,5,18,0,0,5,5,0,0,0,1,15,1,0,0,4,0,7,8,1,2,4,0,3,221.0,7.977997685185185,7.977997685185185,406.97105324074073,878.9710532407407,907.0127199074074,,,
I_LOVE_ANTON_DONBASS,2175,2505,1529082309,1,63,168,22,12,98,191,10,12,205,116,42,82,133,222,22,5,107,109,2,39,12,21,225,6,0,4,56,10,128,123,11,28,84,53,35,1856.0,0.9790625,0.9790625,358.8957291666667,559.8992013888889,662.8957291666667,1184.8957291666666,1491.8957291666666,
Jlyfish,2175,2175,1640519909,0,18,37,2,1,21,56,2,3,68,42,12,35,48,65,5,2,35,30,2,22,5,6,84,2,0,2,22,1,56,55,3,9,26,17,15,1543.0,112.10869212962963,170.10869212962962,366.1086921296296,480.1086921296296,856.1086921296296,,,
Micchon,2175,2299,1585308061,0,5,9,1,1,6,19,0,1,18,8,2,7,10,16,1,0,9,7,0,3,0,1,15,0,0,1,4,0,8,9,3,2,7,4,3,477.0,7.134710648148148,7.134710648148148,14.134710648148149,99.14165509259259,239.13471064814814,,,
RedMind,2175,2326,1548365207,0,8,29,2,1,18,27,3,0,26,19,11,11,13,44,3,1,21,9,0,7,0,1,39,0,0,1,4,1,25,24,2,4,6,6,5,687.0,1.7557060185185185,1.7557060185185185,470.71403935185185,496.71403935185185,505.73487268518517,1494.7140393518519,,
Sokol080808,2175,2260,1622039126,0,9,21,4,0,12,28,0,3,50,25,8,11,17,34,9,1,21,23,1,10,4,3,37,1,0,4,9,1,24,26,4,6,8,9,6,626.0,200.0344212962963,272.0066435185185,345.0066435185185,529.0066435185186,647.1316435185186,,,
_Solenya_,2175,2208,1504377305,1,20,23,6,10,36,59,2,4,99,56,20,27,55,54,13,2,32,43,2,15,0,14,139,2,0,4,22,3,56,29,2,5,38,31,18,1189.0,1.833275462962963,1.833275462962963,169.9166087962963,358.9166087962963,531.9166087962963,,,
chaitanya,2175,2175,1508004966,1,16,21,3,3,23,32,3,3,56,18,8,15,17,43,3,0,21,24,1,9,5,3,67,2,0,3,5,2,23,15,2,0,10,11,3,946.0,292.8534027777778,313.856875,506.8672916666667,1032.8464583333334,1170.8464583333334,,,
devid,2175,2249,1512329510,0,12,22,4,3,18,36,3,1,30,8,8,12,17,41,4,1,21,22,1,3,3,6,41,0,0,2,9,1,14,16,2,7,11,13,4,681.0,19.773032407407406,109.87719907407407,257.7938657407407,506.7938657407407,626.7938657407408,,,
hoainiem,2175,2175,1615034643,1,7,12,0,1,6,18,0,3,37,18,10,18,15,25,2,2,8,16,0,9,7,4,39,0,0,1,4,0,15,14,1,4,9,8,4,401.0,57.07704861111111,54.07704861111111,123.07704861111111,327.07704861111114,650.0770486111111,,,
ishmeal,2175,2207,1679233101,0,5,7,1,0,11,27,1,0,27,13,6,9,14,26,4,1,23,10,0,6,0,1,28,1,0,2,6,1,17,25,1,2,16,6,3,660.0,20.018506944444443,20.018506944444443,20.018506944444443,85.03934027777778,438.0393402777778,,,
kh0i,2175,2175,1627054805,1,24,13,16,2,32,63,6,3,144,55,18,34,40,34,12,0,27,51,3,39,9,4,91,1,0,5,23,4,49,36,4,6,23,38,12,1382.0,158.9964699074074,213.95480324074074,259.9548032407407,936.9548032407407,1191.9548032407408,,,
kizaru,2175,2183,1651849701,0,0,3,0,0,2,3,0,0,1,1,2,0,0,4,1,0,3,1,0,0,0,0,2,0,0,0,0,0,2,2,1,0,1,0,0,74.0,42.976840277777775,49.976840277777775,157.97684027777777,668.9768402777778,693.9768402777778,,,
lddlinan,2175,2273,1617954700,0,26,62,6,4,39,108,2,4,78,45,15,33,47,95,12,2,62,48,1,18,4,10,88,1,0,3,26,2,55,79,4,15,40,24,15,1190.0,259.2800925925926,259.2800925925926,259.2800925925926,293.2800925925926,320.09606481481484,,,
lis,2175,2241,1445004108,0,2,12,8,7,5,20,2,1,34,16,10,7,20,9,7,1,12,12,1,5,3,3,32,3,0,15,11,6,17,10,1,4,3,6,3,747.0,251.1063888888889,251.1063888888889,313.1063888888889,729.7522222222223,1100.7556944444445,,,
quaha,2175,2175,1635276558,0,7,10,2,1,9,24,0,2,28,9,5,7,18,26,5,2,18,17,0,6,1,2,30,1,0,1,5,0,18,32,2,2,5,14,5,1511.0,327.795625,349.795625,417.795625,956.795625,1059.795625,,,
saharshluthra,2175,2175,1432151235,1,5,10,2,1,12,33,2,0,34,16,3,14,7,13,1,0,10,10,0,6,2,5,41,0,0,0,4,1,12,12,1,1,16,19,0,621.0,62.758854166666666,62.758854166666666,81.86302083333334,405.8873263888889,975.8248263888889,,,
tushaar9876,2175,2175,1636614740,0,16,42,0,2,27,82,2,0,70,30,12,17,25,85,6,1,48,33,0,13,2,10,71,0,0,0,13,2,31,60,8,11,29,27,8,837.0,262.28657407407405,295.3074074074074,400.3074074074074,584.0365740740741,1003.3074074074074,,,
vovuh,2175,2175,1399461686,0,4,14,4,2,7,27,1,2,23,15,7,7,20,25,0,2,12,17,0,3,3,3,41,0,1,1,5,0,22,17,3,2,10,8,8,1359.0,4.179560185185185,4.179560185185185,261.19344907407407,957.2177546296297,2019.1344212962963,,,
237sfz,2174,2174,1691845218,0,2,1,0,0,2,3,0,0,4,2,0,0,2,1,0,0,2,2,0,1,0,0,3,0,0,0,1,0,3,3,1,1,1,0,0,35.0,5.065763888888889,5.065763888888889,12.065763888888888,43.06576388888889,126.0657638888889,,,
AFOOFA,2174,2174,1683526439,0,0,0,0,0,2,1,0,0,3,2,0,1,1,1,1,0,0,1,0,1,0,0,2,0,0,0,1,0,2,0,0,0,0,0,1,33.0,11.34792824074074,11.34792824074074,17.347928240740742,59.34792824074074,224.34792824074074,,,
BlueJade,2174,2174,1644914914,0,3,11,2,0,4,18,1,0,18,9,4,6,7,18,2,0,13,6,0,4,0,1,11,1,0,1,6,0,13,15,3,1,5,5,1,277.0,117.2405787037037,487.9697453703704,672.2405787037037,738.2405787037037,781.2405787037037,,,
Code936,2174,2174,1703772571,0,0,2,0,0,0,3,0,0,1,2,0,1,2,6,0,0,1,0,0,0,0,0,4,0,0,0,0,1,1,3,0,0,1,1,0,32.0,68.01769675925927,78.01769675925927,78.01769675925927,267.01769675925925,291.01769675925925,,,
DELTARUNE,2174,2174,1608369733,0,12,27,1,2,13,50,0,2,31,13,7,15,16,42,5,0,23,15,0,7,1,5,41,2,0,1,7,0,21,30,5,5,15,8,3,766.0,11.217210648148148,11.217210648148148,31.217210648148146,267.2172106481481,701.2172106481481,,,
Gamal74,2174,2174,1632255268,1,46,84,9,13,65,184,3,7,207,107,65,68,111,161,24,5,86,86,3,43,23,27,254,3,0,30,46,23,109,113,10,14,83,79,28,3466.0,169.76425925925926,243.76425925925926,368.76425925925923,536.7642592592592,590.7642592592592,,,
JustNik77,2174,2174,1593263694,1,20,35,12,1,24,55,2,5,85,43,12,20,39,62,7,1,25,38,1,16,5,5,95,2,0,5,20,3,56,36,5,0,21,18,10,1572.0,233.055625,312.055625,425.055625,582.055625,1385.055625,,,
Ketma,2174,2280,1693400202,0,1,3,0,0,3,7,0,0,2,1,0,4,2,3,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,3,0,1,0,1,1,41.0,12.06826388888889,12.06826388888889,12.06826388888889,19.06826388888889,87.07868055555555,,,
Mike4235,2174,2299,1545385369,1,16,35,12,10,18,66,5,3,159,84,17,26,70,62,16,1,33,47,0,37,11,11,88,3,0,8,35,1,62,36,2,10,15,33,19,990.0,2.161238425925926,2.161238425925926,623.2029050925926,863.2029050925926,939.2029050925926,,,
Motarack,2174,2785,1456853006,0,40,117,33,18,64,156,5,12,207,107,41,59,134,153,19,2,92,91,4,26,17,30,203,2,1,10,46,6,112,71,14,33,57,48,23,1967.0,58.96636574074074,58.96636574074074,75.96636574074074,175.96636574074074,270.96636574074074,445.02886574074074,725.9455324074074,1585.8899768518518
Palindrome_1,2174,2174,1711636913,0,0,1,0,0,0,5,0,0,2,1,0,1,1,3,0,0,4,1,0,1,0,0,3,0,0,0,2,1,1,4,0,0,1,2,0,31.0,14.995219907407407,14.995219907407407,15.995219907407407,23.995219907407407,191.64105324074075,,,
Phi-001,2174,2293,1665310348,0,15,37,4,2,30,68,0,2,56,32,7,28,35,55,6,2,36,24,0,17,3,8,74,1,0,1,18,0,42,39,8,11,35,17,7,267.0,181.16148148148147,181.16148148148147,182.18925925925927,312.1823148148148,509.1823148148148,,,
Plums,2174,2174,1562104357,0,7,13,1,0,8,24,2,0,11,6,1,5,10,18,0,2,11,9,1,4,0,6,17,1,0,0,7,0,8,14,2,4,7,11,2,941.0,280.696099537037,738.6960995370371,949.6960995370371,1262.696099537037,1474.696099537037,,,
SliferSkyd,2174,2174,1586912999,0,43,41,22,12,48,94,5,12,252,135,39,61,100,112,20,3,50,88,1,55,15,21,251,7,0,15,50,4,99,67,12,17,62,35,25,842.0,0.5590393518518518,0.5590393518518518,6.559039351851852,511.5590393518519,978.5590393518519,,,
Sumeet.Shirgure,2174,2174,1444827898,1,15,25,16,4,21,54,3,3,85,47,26,20,45,43,16,0,24,39,0,10,5,5,87,1,0,11,11,4,49,28,1,2,23,21,13,1451.0,115.83335648148149,198.14585648148147,282.1458564814815,466.21530092592593,1406.062523148148,,,
TD06,2174,2196,1538729157,0,10,22,2,0,12,21,1,1,27,11,7,3,9,26,2,0,12,10,0,6,1,3,20,0,0,1,3,0,10,13,0,4,5,6,0,386.0,0.24239583333333334,0.24239583333333334,183.11739583333335,201.24239583333335,334.0132291666667,,,
Zinc-acetate,2174,2183,1679134536,0,11,31,2,3,15,37,0,0,49,16,12,17,12,44,10,2,30,24,1,10,3,5,39,1,0,8,6,2,20,41,4,6,12,8,4,692.0,115.18013888888889,152.18013888888888,196.18013888888888,392.1801388888889,485.1801388888889,,,
_LeMur_,2174,2437,1386242177,0,87,212,22,22,116,294,8,24,326,202,56,107,196,307,24,6,155,149,5,56,31,51,369,9,1,8,76,20,190,185,24,58,129,95,44,4021.0,2.905358796296296,2.905358796296296,185.17619212962964,884.1588310185185,1615.1588310185184,1788.179664351852,2350.054664351852,
brown_toad,2174,2174,1518855840,0,23,54,10,7,19,87,3,3,68,36,11,29,32,66,7,2,36,29,3,8,2,11,82,2,0,3,13,2,38,44,5,9,30,40,7,870.0,188.26805555555555,188.26805555555555,1132.2576388888888,1464.2576388888888,2289.257638888889,,,
bzh,2174,2174,1475392374,0,2,34,6,2,6,37,1,1,25,22,5,20,22,28,3,2,13,25,1,4,1,9,51,1,0,1,4,0,22,17,4,9,16,10,5,352.0,1.182013888888889,1.182013888888889,1.182013888888889,135.03618055555555,812.2653472222222,,,
dragon_bra,2174,2174,1475321477,0,5,10,0,0,6,16,0,0,10,5,7,6,7,16,3,0,11,1,0,2,0,1,9,0,0,2,1,0,5,7,2,3,4,4,0,330.0,45.210914351851855,45.210914351851855,1063.1275810185184,1386.8949421296297,2826.1275810185184,,,
elb89,2174,2174,1615388248,0,3,13,2,0,0,11,1,0,6,8,3,3,6,9,1,0,6,6,2,2,1,1,8,0,0,1,2,0,7,6,0,4,3,3,1,342.0,185.98439814814816,203.8038425925926,284.98439814814816,423.98439814814816,588.9843981481481,,,
jli505,2174,2174,1583643095,0,18,58,7,5,30,78,3,3,83,51,19,23,48,82,14,1,37,29,2,16,10,9,91,3,1,3,23,4,49,46,4,9,34,21,11,809.0,135.40515046296295,144.40515046296295,278.405150462963,661.4468171296296,685.405150462963,,,
keyurchd_11,2174,2174,1604963729,0,16,34,2,2,30,42,0,2,69,44,10,15,35,51,6,0,33,28,0,12,4,7,66,1,0,4,23,1,50,33,4,8,15,14,4,1191.0,79.63855324074073,120.53438657407408,227.6802199074074,470.454525462963,898.6385532407407,,,
ligaydima,2174,2342,1533988202,0,24,50,7,3,33,82,5,2,72,43,11,28,43,86,8,0,57,39,0,14,2,9,82,2,0,2,16,1,44,57,7,11,23,22,17,879.0,0.07289351851851852,70.84719907407407,403.1770601851852,608.1145601851852,718.1145601851852,1813.1145601851852,,
nbmnb,2174,2237,1566061870,0,1,6,3,1,6,10,0,0,18,11,5,4,10,11,7,0,4,4,1,4,0,0,15,0,0,2,4,1,11,6,1,1,1,5,2,120.0,4.891550925925926,123.89155092592593,214.8915509259259,520.8915509259259,562.8984953703704,,,
qualdoom,2174,2174,1618424269,1,41,83,17,5,63,110,4,1,168,77,32,47,73,133,23,3,70,78,3,34,3,11,143,1,0,4,38,6,85,88,9,18,32,41,17,1737.0,86.8452662037037,136.84526620370372,213.49109953703703,359.8452662037037,543.8452662037037,,,
r-2,2174,2332,1704619240,0,2,12,1,4,2,30,0,3,25,13,4,11,13,20,3,0,8,12,0,8,8,11,26,1,0,0,4,0,10,6,3,2,16,7,2,113.0,83.21828703703704,83.21828703703704,83.21828703703704,97.21828703703704,105.21828703703704,114.21828703703704,,
the_problem,2174,2174,1695624224,0,1,7,0,0,1,8,0,0,6,3,3,6,4,13,3,0,6,3,0,4,0,0,12,0,0,0,3,0,6,10,0,0,5,4,0,244.0,17.32726851851852,27.181435185185187,53.327268518518515,279.3272685185185,391.0981018518519,,,
Ahmed57,2173,2173,1566682591,1,46,19,4,5,40,100,4,6,174,93,13,52,57,101,13,7,34,68,0,42,8,30,186,3,0,1,41,2,73,65,6,16,70,46,18,1694.0,715.7072800925926,970.7072800925926,1127.7072800925926,1378.7072800925926,1558.7906134259258,,,
AugustinasJucas,2173,2173,1532372732,0,24,50,9,2,46,56,6,2,66,36,16,18,53,84,10,2,41,48,1,9,3,5,93,3,0,1,14,1,53,48,2,7,18,19,15,830.0,383.7287962962963,383.7287962962963,417.7496296296296,684.8121296296297,993.8121296296297,,,
Beriand,2173,2173,1363449341,1,1,18,2,1,13,25,1,1,27,18,4,8,17,25,4,2,10,26,0,2,1,9,41,0,0,0,1,0,17,11,1,4,8,9,7,412.0,0.9821643518518518,0.9821643518518518,0.9821643518518518,132.6904976851852,1152.0273032407408,,,
