id,contestId,creationTimeSeconds,relativeTimeSeconds,problem,author,programmingLanguage,verdict,testset,passedTestCount,timeConsumedMillis,memoryConsumedBytes,points
67079395,1266,1576595568,468,"{'contestId': 1266, 'index': 'B', 'name': 'Dice Tower', 'type': 'PROGRAMMING', 'points': 750.0, 'rating': 1000, 'tags': ['constructive algorithms', 'math']}","{'contestId': 1266, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 129, 'startTimeSeconds': 1576595100}",C++17 (GCC 7-32),WRONG_ANSWER,PRETESTS,1,30,0,
67078191,1266,1576595398,298,"{'contestId': 1266, 'index': 'A', 'name': 'Competitive Programmer', 'type': 'PROGRAMMING', 'points': 500.0, 'rating': 1000, 'tags': ['chinese remainder theorem', 'math']}","{'contestId': 1266, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 129, 'startTimeSeconds': 1576595100}",C++17 (GCC 7-32),OK,TESTS,10,30,0,
66923926,1280,1576391843,5543,"{'contestId': 1280, 'index': 'A', 'name': 'Cut and Paste', 'type': 'PROGRAMMING', 'points': 500.0, 'rating': 1700, 'tags': ['implementation', 'math']}","{'contestId': 1280, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 19, 'startTimeSeconds': 1576386300}",C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,17,2000,30208000,
66921060,1280,1576391025,4725,"{'contestId': 1280, 'index': 'C', 'name': 'Jeremy Bearimy', 'type': 'PROGRAMMING', 'points': 1500.0, 'rating': 2000, 'tags': ['dfs and similar', 'graphs', 'greedy', 'trees']}","{'contestId': 1280, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 19, 'startTimeSeconds': 1576386300}",C++17 (GCC 7-32),OK,TESTS,17,670,41881600,
66918271,1280,1576390255,3955,"{'contestId': 1280, 'index': 'A', 'name': 'Cut and Paste', 'type': 'PROGRAMMING', 'points': 500.0, 'rating': 1700, 'tags': ['implementation', 'math']}","{'contestId': 1280, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 19, 'startTimeSeconds': 1576386300}",C++17 (GCC 7-32),WRONG_ANSWER,PRETESTS,5,93,9113600,
66914123,1280,1576389217,2917,"{'contestId': 1280, 'index': 'B', 'name': 'Beingawesomeism', 'type': 'PROGRAMMING', 'points': 1000.0, 'rating': 1800, 'tags': ['implementation', 'math']}","{'contestId': 1280, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 19, 'startTimeSeconds': 1576386300}",C++17 (GCC 7-32),OK,TESTS,42,202,307200,
66912966,1280,1576388952,2652,"{'contestId': 1280, 'index': 'B', 'name': 'Beingawesomeism', 'type': 'PROGRAMMING', 'points': 1000.0, 'rating': 1800, 'tags': ['implementation', 'math']}","{'contestId': 1280, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 19, 'startTimeSeconds': 1576386300}",C++17 (GCC 7-32),WRONG_ANSWER,PRETESTS,1,15,102400,
66905099,1280,1576387293,993,"{'contestId': 1280, 'index': 'A', 'name': 'Cut and Paste', 'type': 'PROGRAMMING', 'points': 500.0, 'rating': 1700, 'tags': ['implementation', 'math']}","{'contestId': 1280, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 19, 'startTimeSeconds': 1576386300}",C++17 (GCC 7-32),WRONG_ANSWER,PRETESTS,5,108,9113600,
66869420,1276,1576328684,7184,"{'contestId': 1276, 'index': 'D', 'name': 'Tree Elimination', 'type': 'PROGRAMMING', 'points': 2000.0, 'rating': 2900, 'tags': ['dp', 'trees']}","{'contestId': 1276, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 13, 'startTimeSeconds': 1576321500}",C++17 (GCC 7-32),WRONG_ANSWER,PRETESTS,0,15,5632000,
66869080,1276,1576328651,7151,"{'contestId': 1276, 'index': 'D', 'name': 'Tree Elimination', 'type': 'PROGRAMMING', 'points': 2000.0, 'rating': 2900, 'tags': ['dp', 'trees']}","{'contestId': 1276, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 13, 'startTimeSeconds': 1576321500}",C++17 (GCC 7-32),WRONG_ANSWER,PRETESTS,0,31,5632000,
66868840,1276,1576328616,7116,"{'contestId': 1276, 'index': 'D', 'name': 'Tree Elimination', 'type': 'PROGRAMMING', 'points': 2000.0, 'rating': 2900, 'tags': ['dp', 'trees']}","{'contestId': 1276, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 13, 'startTimeSeconds': 1576321500}",C++17 (GCC 7-32),RUNTIME_ERROR,PRETESTS,0,186,274022400,
66862557,1276,1576327228,5728,"{'contestId': 1276, 'index': 'C', 'name': 'Beautiful Rectangle', 'type': 'PROGRAMMING', 'points': 1250.0, 'rating': 2300, 'tags': ['brute force', 'combinatorics', 'constructive algorithms', 'data structures', 'greedy', 'math']}","{'contestId': 1276, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 13, 'startTimeSeconds': 1576321500}",C++17 (GCC 7-32),OK,TESTS,69,218,14131200,
66860357,1276,1576326705,5205,"{'contestId': 1276, 'index': 'C', 'name': 'Beautiful Rectangle', 'type': 'PROGRAMMING', 'points': 1250.0, 'rating': 2300, 'tags': ['brute force', 'combinatorics', 'constructive algorithms', 'data structures', 'greedy', 'math']}","{'contestId': 1276, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 13, 'startTimeSeconds': 1576321500}",C++17 (GCC 7-32),WRONG_ANSWER,PRETESTS,26,15,3379200,
66860173,1276,1576326660,5160,"{'contestId': 1276, 'index': 'C', 'name': 'Beautiful Rectangle', 'type': 'PROGRAMMING', 'points': 1250.0, 'rating': 2300, 'tags': ['brute force', 'combinatorics', 'constructive algorithms', 'data structures', 'greedy', 'math']}","{'contestId': 1276, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 13, 'startTimeSeconds': 1576321500}",C++17 (GCC 7-32),WRONG_ANSWER,PRETESTS,0,0,3174400,
66848875,1276,1576324320,2820,"{'contestId': 1276, 'index': 'A', 'name': 'As Simple as One and Two', 'type': 'PROGRAMMING', 'points': 500.0, 'rating': 1400, 'tags': ['dp', 'greedy']}","{'contestId': 1276, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 13, 'startTimeSeconds': 1576321500}",C++17 (GCC 7-32),OK,TESTS,15,108,1433600,
66846397,1276,1576323838,2338,"{'contestId': 1276, 'index': 'A', 'name': 'As Simple as One and Two', 'type': 'PROGRAMMING', 'points': 500.0, 'rating': 1400, 'tags': ['dp', 'greedy']}","{'contestId': 1276, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 13, 'startTimeSeconds': 1576321500}",C++17 (GCC 7-32),WRONG_ANSWER,PRETESTS,0,0,0,
66840663,1276,1576322737,1237,"{'contestId': 1276, 'index': 'B', 'name': 'Two Fairs', 'type': 'PROGRAMMING', 'points': 1000.0, 'rating': 1900, 'tags': ['combinatorics', 'dfs and similar', 'dsu', 'graphs']}","{'contestId': 1276, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 13, 'startTimeSeconds': 1576321500}",C++17 (GCC 7-32),OK,TESTS,42,280,5632000,
66834606,1276,1576321847,347,"{'contestId': 1276, 'index': 'A', 'name': 'As Simple as One and Two', 'type': 'PROGRAMMING', 'points': 500.0, 'rating': 1400, 'tags': ['dp', 'greedy']}","{'contestId': 1276, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 13, 'startTimeSeconds': 1576321500}",C++17 (GCC 7-32),WRONG_ANSWER,PRETESTS,1,15,0,
