contestId,index,name,tags,rating,solved
2007,B,Index and Maximum Value,"['data structures', 'greedy']",900.0,296
2007,A,Dora's Set,"['greedy', 'math', 'number theory']",800.0,307
2006,F,Dora's Paint,"['brute force', 'combinatorics', 'constructive algorithms', 'graphs', 'implementation']",3500.0,37
2006,E,Iris's Full Binary Tree,"['brute force', 'data structures', 'dfs and similar', 'trees']",3100.0,142
2006,D,Iris and Adjacent Products,"['data structures', 'greedy', 'implementation', 'math']",2600.0,475
2006,C,Eri and Expanded Sets,"['data structures', 'divide and conquer', 'math', 'number theory', 'two pointers']",2300.0,861
2006,B,Iris and the Tree,"['brute force', 'data structures', 'dfs and similar', 'dsu', 'math', 'trees']",1800.0,1014
2006,A,Iris and Game on the Tree,"['constructive algorithms', 'dfs and similar', 'games', 'graphs', 'greedy', 'trees']",1700.0,1048
2005,E2,Subtangle Game (Hard Version),"['data structures', 'dp', 'games', 'greedy', 'implementation']",2500.0,337
2005,E1,Subtangle Game (Easy Version),"['dp', 'games', 'greedy', 'implementation']",2100.0,573
2005,D,Alter the GCD,"['binary search', 'brute force', 'data structures', 'divide and conquer', 'implementation', 'number theory']",2400.0,359
2005,C,Lazy Narek,"['dp', 'implementation', 'strings']",1800.0,718
2005,B2,The Strict Teacher (Hard Version),"['binary search', 'greedy', 'math', 'sortings']",1200.0,755
2005,B1,The Strict Teacher (Easy Version),"['greedy', 'math', 'sortings']",1000.0,753
2005,A,Simple Palindrome,"['combinatorics', 'constructive algorithms', 'greedy', 'math']",900.0,777
2004,G,Substring Compression,"['data structures', 'dp', 'matrices']",3200.0,150
2004,F,Make a Palindrome,"['binary search', 'brute force', 'data structures', 'greedy', 'math']",2600.0,475
2004,E,Not a Nim Problem,"['brute force', 'games', 'math', 'number theory']",2100.0,796
2004,D,Colored Portals,"['binary search', 'brute force', 'data structures', 'graphs', 'greedy', 'implementation', 'shortest paths']",1600.0,841
2004,C,Splitting Items,"['games', 'greedy', 'sortings']",1100.0,850
2004,B,Game with Doors,"['brute force', 'greedy']",1000.0,838
2004,A,Closest Point,"['implementation', 'math']",800.0,863
2003,F,Turtle and Three Sequences,"['brute force', 'data structures', 'dp', 'greedy', 'math', 'probabilities', 'two pointers']",2800.0,227
2003,E2,Turtle and Inversions (Hard Version),"['brute force', 'data structures', 'divide and conquer', 'dp', 'greedy', 'math', 'two pointers']",2700.0,259
2003,E1,Turtle and Inversions (Easy Version),"['brute force', 'divide and conquer', 'dp', 'greedy', 'math']",2600.0,332
2003,D2,Turtle and a MEX Problem (Hard Version),"['dfs and similar', 'dp', 'graphs', 'greedy', 'implementation', 'math']",2100.0,696
2003,D1,Turtle and a MEX Problem (Easy Version),"['greedy', 'math']",1500.0,776
2003,C,Turtle and Good Pairs,"['constructive algorithms', 'greedy', 'sortings', 'strings']",1200.0,725
2003,B,Turtle and Piggy Are Playing a Game 2,"['games', 'greedy', 'sortings']",800.0,772
2003,A,Turtle and Good Strings,"['greedy', 'strings']",800.0,788
2002,H,Counting 101,['greedy'],3500.0,8
2002,G,Lattice Optimizing,"['bitmasks', 'brute force', 'hashing', 'meet-in-the-middle']",3400.0,104
2002,F2,Court Blue (Hard Version),"['brute force', 'dp', 'math', 'number theory']",2800.0,268
2002,F1,Court Blue (Easy Version),"['brute force', 'dfs and similar', 'dp', 'math', 'number theory']",2600.0,502
2002,E,Cosmic Rays,"['brute force', 'data structures', 'dp']",2300.0,943
2002,D2,DFS Checker (Hard Version),"['binary search', 'data structures', 'dfs and similar', 'graphs', 'hashing', 'trees']",2300.0,867
2002,D1,DFS Checker (Easy Version),"['brute force', 'data structures', 'dfs and similar', 'graphs', 'hashing', 'trees']",1900.0,1163
2002,C,Black Circles,"['brute force', 'geometry', 'greedy', 'math']",1200.0,1272
2002,B,Removals Game,"['constructive algorithms', 'games']",1000.0,1288
2002,A,Distanced Coloring,"['constructive algorithms', 'implementation', 'math']",800.0,1297
2001,E2,Deterministic Heap (Hard Version),"['combinatorics', 'dp', 'trees']",2900.0,116
2001,E1,Deterministic Heap (Easy Version),"['combinatorics', 'dp', 'math', 'trees']",2400.0,528
2001,D,Longest Max Min Subsequence,"['brute force', 'constructive algorithms', 'data structures', 'greedy', 'implementation']",1900.0,727
